"","Charges"
"5770","SUBSTANCE WITH INTENT TO SELL WITHIN"
"5771","1,000 FEET OF SCHOOL"
"5772","RECKLESS DRIVING 1ST OFF"
"5773","FTA/DRIVING WHILE LICENSE SUSPENDED"
"5774","OR REVOKED"
"5775","VOP/NO VALID DRIVER'S LICENSE"
"5776","VOP/FTA/PETIT THEFT"
"5777","OUT OF COUNTY WARRANT(GRAND THEFT"
"5778","MOTOR VEHICLE) HILLSBOROUGH CO"
"5779","HOLD FOR ICE( DETAINER FROM BAY"
"5780","COUNTY)"
"5781","HOLD FOR HILLSBOROUGH COUNTY"
"5782","VOP/TAMPERING WITH A WTINESS OR"
"5783","INFORMANT"
"5784","VOP/FELONY BATTERY"
"5785","VOP/POSSESSION OF CANNABIS"
"5786","VOP/POSSESSION OF PARAPHERNALIA"
"5787","VOP/DRIVING UNDER THE INFLUENCE"
"5788","DUI-UNLAW BLD ALCH DUI ALCOHOL OR"
"5789","DRUGS"
"5790","OUT-OF-COUNTY WARRANT/HOLMES"
"5791","COUNTY/VOP/BATTERY TOUCH OR"
"5792","STRIKE/18180MM"
"5793","OUT-OF-COUNTY WARRANT/HOLMES"
"5794","COUNTY/VOP/DISORDERLY INTOX/18180MM"
"5795","DOMV///BATTERY TOUCH OR STRIKE"
"5796","FELONY BATTERY"
"5797","VOP/VIOLATION OF PROBATION OR"
"5798","COMMUNITY CONTROL/BROWARD COUNTY"
"5799","SO/CASE#1609988/ROBBERY"
"5800","DOMV///CONTEMPT OF COURT VIOLATION"
"5801","INJUNCTION PROTECTION DOMESTIC"
"5802","VIOLENCE"
"5803","DUI-UNLAW BLD ALCH 0.15 OR HIGHER OR"
"5804","W PERSON UNDER 18 IN VEHICLE"
"5805","FELONY BATTERY"
"5806","FTA/POSSESSION OF COCAINE"
"5807","FTA/POSSESSION OF OXYCODONE"
"5808","FTA/POSSESSION OF WEAPON OR AMMO BY"
"5809","CONVICTED FLORIDA FELON"
"5810","VOP/BURLARY OF DWELLING WITH PERSON"
"5811","ASSAULTED"
"5812","VOP/FTA/POSSESSION OF MORE THAN 20"
"5813","GRAMS CANNABIS"
"5814","VOP/POSSESSION OF CANNABIS RESIN WITH"
"5815","INTENT TO SELL OR DELIVER"
"5816","VOP/POSSESSION OF CONTROLLED"
"5817","SUBSTANCE"
"5818","OUT-OF-STATE-FUG-REF FUGITIVE FROM"
"5819","JUSTICE/GWINNETT COUNTY, GA/"
"5820","ATTEMPTED FIRST DEGREE MURDER"
"5821","AGGRAVATED ASSAULT WITH FIREARM"
"5822","EVIDENCE-DESTROYING TAMPER WITH OR"
"5823","FABRICATE PHYSICAL"
"5824","MARIJUANA-POSSESS NOT MORE THAN 20"
"5825","GRAMS"
"5826","RESIST OFFICER OBSTRUCT WO VIOLENCE"
"5827","OUT-OF-COUNTY WARRANT/BROWARD"
"5828","COUNTY/POSS OF CANNABIS W/INTENT OT"
"5829","SELL/DEL/07012440CF10A"
"5830","GRAND THEFT OF  MOTOR VEHICLE"
"5831","FTA/DRIVING WHILE LICENSE SUSPENDED"
"5832","OR REVOKED"
"5833","FTA/POSSESSION OF CANNABIS"
"5834","DRUGS-SELL SELL METHAMPHETAMINE"
"5835","STOLEN PROP-DEAL IN"
"5836","DUI-UNLAW BLD ALCH DUI ALCOHOL OR"
"5837","DRUGS"
"5838","OUT-OF-STATE-FUG-REF FUGITIVE FROM"
"5839","JUSTICE/COOK COUNTY, ILLINOIS/WEAPON"
"5840","OFFENSE/18CR001505"
"5841","ATTEMPTED FIRST DEGREE MURDER"
"5842","AGGRAVATED ASSAULT WITH FIREARM"
"5843","DUI-UNLAW BLD ALCH DUI ALCOHOL OR"
"5844","DRUGS"
"5845","CONTEMPT OF COURT VIOLATION"
"5846","INJUNCTION PROTECTION DOMESTIC"
"5847","VIOLENCE"
"5848","DRUGS-POSSESS CONTROLLED SUBSTANCE"
"5849","WITHOUT PRESCRIPTION"
"5850","NONMOVING TRAFFIC VIOL DRIVE WHILE LIC"
"5851","SUSP 3RD OR SUBSQ OFF"
"5852","MARIJUANA-POSSESS NOT MORE THAN 20"
"5853","GRAMS"
"5854","NARCOTIC EQUIP-POSSESS AND OR USE"
"5855","DOMV/BATTERY TOUCH OR STRIKE"
"5856","OUT-OF-COUNTY WARRANT///ORANGE"
"5857","COUNTY/GRAND THEFT/CASE#OPD-2018-"
"5858","398144/BND:2500"
"5859","OUT-OF-COUNTY WARRANT///ORANGE"
"5860","COUNTY"
"5861","SO/CASE#482018MM0037520//DOMESTIC"
"5862","VIOLENCE/NO BOND"
"5863","DOMV/AGGRAV BATTERY PERSON USES A"
"5864","DEADLY WEAPON"
"5865","VOP/SALE OR POSSESSION OF COCAINE"
"5866","WITH INTENT TO SELL OR DELIVER"
"5867","FTA/DRIVING UNDER THE INFLUENCE WITH"
"5868","BREATH ALCOHOL OF .15 OR HIGHER"
"5869","DRIVING UNDER THE INFLUENCE CAUSING"
"5870","DAMAGE TO PERSON OR PROPERTY"
"5871","FTA/NO VALID DRIVER'S LICENSE"
"5872","FTA/MOVING TRAFFIC VIOL OPERATE MOTOR"
"5873","VEHICLE WO VALID LICENSE"
"5874","DUI UNLAW BLD ALCH DUI ALCOHOL OR"
"5875","DRUGS 3RD VIOL WI 10 YEARS"
"5876","NONMOVING TRAFFIC VIOL DRIVE WHILE LIC"
"5877","SUSP 3RD OR SUBSQ OFF"
"5878","REFUSE TO SUBMIT TO DUI TEST"
"5879","DUI-UNLAW BLD ALCH DUI  DAMAGE TO"
"5880","PROPERTY OR PERSON OF ANOTHER"
"5881","FTA/DOMESTIC BATTERY"
"5882","VOP/BURGLARY OF DWELLING"
"5883","PASS FORGED ALTERED INSTRUMENT"
"5884","USE/POSS ID OF ANOTHER PERSON WO"
"5885","CONSENT"
"5886","GRAND THEFT IS $300 OR MORE BUT LESS"
"5887","THAN $5000"
"5888","AMPHETAMINE-TRAFFIC OR"
"5889","METHAMPHETAMINE 14 GRAMS OR OVER"
"5890","DRUGS-POSSESS CONTROLLED SUBSTANCE"
"5891","WITHOUT PRESCRIPTION"
"5892","GRAND THEFT OF FIREARM"
"5893","CARRYING CONCEALED WEAPON"
"5894","UNLICENSED FIREARM"
"5895","MARIJUANA-POSSESS NOT MORE THAN 20"
"5896","GRAMS"
"5897","NARCOTIC EQUIP-POSSESS AND OR USE"
"5898","DOMV/BATTERY TOUCH OR STRIKE"
"5899","POSSESSION OF METHAMPHETAMINE"
"5900","BATTERY TOUCH OR STRIKE"
"5901","VOP/DRIVING UNDER THE INFLUENCE WITH"
"5902","BREATH ALCOHOL OF .15 OR HIGHER"
"5903","VOP/MOVING TRAFFIC VIOL OPERATE"
"5904","MOTOR VEHICLE WO VALID LICENSE"
"5905","DOMV/BATTERY TOUCH OR STRIKE"
"5906","DUI-UNLAW BLD ALCH DUI ALCOHOL OR"
"5907","DRUGS"
"5908","PAROLE VIOLATION"
"5909","OUT-OF-COUNTY WARRANT//TAYLOR"
"5910","COUNTY SO/CASE#18276MMAXMX//FALSE"
"5911","NAME TO LEO/BND: 1000"
"5912","OUT-OF-COUNTY WARRANT//TAYLOR"
"5913","COUNTY SO/CASE#18276MMAXMX//RESIST"
"5914","OFFICER WITHOUT VIOLENCE/BND: 1000"
"5915","RESIST OFFICER OBSTRUCT WO VIOLENCE"
"5916","COCAINE-POSSESS WITH INTENT TO SELL"
"5917","MFG DELIV ETC SCHEDULE II"
"5918","NARCOTIC EQUIP-POSSESS AND OR USE"
"5919","ORDER OF CONTEMPT AND WARRANT FOR"
"5920","COMMITMENT"
"5921","OUT-OF-COUNTY WARRANT / HOLD FOR"
"5922","WAKULLA COUNTY SO / CASE#"
"5923","FTA/POSSESSION OF CONTROLLED"
"5924","SUBSTANCE"
"5925","FTA/POSSESSION OF PARAPHERNALIA"
"5926","FTA/DRIVING WHILE LICENSE SUSPENDED"
"5927","OR REVOKED"
"5928","PETIT THEFT 1ST OFF"
"5929","DRUGS-POSSESS CONTROLLED SUBSTANCE"
"5930","WITHOUT PRESCRIPTION"
"5931","NARCOTIC EQUIP-POSSESS AND OR USE"
"5932","DRUGS-POSSESS CONTROLLED SUBSTANCE"
"5933","WITHOUT PRESCRIPTION"
"5934","MARIJUANA-POSSESS NOT MORE THAN 20"
"5935","GRAMS"
"5936","NONMOVING TRAFFIC VIOL DRIVE WHILE LIC"
"5937","SUSP 3RD OR SUBSQ OFF"
"5938","MARIJUANA-POSSESS NOT MORE THAN 20"
"5939","GRAMS"
"5940","PETIT THEFT 2ND OFF"
"5941","NONMOVING TRAFFIC VIOL DRIVE WHILE LIC"
"5942","SUSP 3RD OR SUBSQ OFF"
"5943","VOP/BATTERY"
"5944","RESIST OFFICER OBSTRUCT WO VIOLENCE"
"5945","BURGL WITH ASSAULT OR BATTERY"
"5946","DAMAGE PROP-CRIM MISCH OVER 200"
"5947","DOLLARS UNDER 1000 DOLLARS"
"5948","FTA/NONMOVING TRAFFIC VIOL DRIVE"
"5949","WHILE LIC SUSP 2ND OFF"
"5950","OUT-OF-STATE-FUG-REF FUGITIVE FROM"
"5951","JUSTICE / CASE#11CR37"
"5952","DAMAGE PROP-CRIM MISCH OVER 200"
"5953","DOLLARS UNDER 1000 DOLLARS"
"5954","OUT-OF-STATE-FUG-REF FUGITIVE FROM"
"5955","JUSTICE / THOMAS COUNTY SO /"
"5956","CASE#SUP02CR449"
"5957","VOP/FAILURE TO REGISTER AS A CAREER"
"5958","OFFENDER"
"5959","HOMICIDE-WILFUL KILL MURDER"
"5960","PREMEDITATED"
"5961","RESIST OFFICER OBSTRUCT WO VIOLENCE"
"5962","MOVING TRAFFIC VIOL OPERATE MOTOR"
"5963","VEHICLE WO VALID LICENSE"
"5964","RESIST OFFICER OBSTRUCT WO VIOLENCE"
"5965","GRAND THEFT IS $300 OR MORE BUT LESS"
"5966","THAN $5000"
"5967","BURGL UNOCCUPIED STRUCTURE UNARMED"
"5968","TRESPASSING PROPERTY NOT STRUCTURE"
"5969","OR CONVEY"
"5970","DUI-UNLAW BLD ALCH DUI  DAMAGE TO"
"5971","PROPERTY OR PERSON OF ANOTHER"
"5972","MARIJUANA-POSSESS NOT MORE THAN 20"
"5973","GRAMS"
"5974","OUT-OF-COUNTY WARRANT / MONROE"
"5975","COUNTY SO / CASE#MSCO18ARR005826"
"5976","TRESPASSING PROPERTY NOT STRUCTURE"
"5977","OR CONVEY"
"5978","DOMV/BATTERY TOUCH OR STRIKE"
"5979","CARRYING CONCEALED WEAPON"
"5980","UNLICENSED FIREARM"
"5981","MARIJUANA-POSSESS NOT MORE THAN 20"
"5982","GRAMS"
"5983","GRAND THEFT OF FIREARM"
"5984","FTA/ATTACHING IMPROPER LICENSE PLATE"
"5985","OUT-OF-COUN TY WARRANTLESS VOP FOR"
"5986","MONROE"
"5987","COUNTY/CASE#1700129/BURG/N/ASSLT/OCC"
"5988",".STRUCT/ROBB NO GUN/DDLY WPN"
"5989","(ATTEMPTED) NO BOND"
"5990","NONMOVING TRAFFIC VIOL DRIVE WHILE LIC"
"5991","SUSP 3RD OR SUBSQ OFF"
"5992","OUT-OF-COUNTY WARRANT /"
"5993","HILLSBOROUGH COUNTY SO /"
"5994","CASE#22239298"
"5995","POSSESS COUNTERFEITED DRIVERS LICENSE"
"5996","OR ID CARD"
"5997","MARIJUANA-POSSESS NOT MORE THAN 20"
"5998","GRAMS"
"5999","BURGL WITH ASSAULT OR BATTERY"
"6000","TRESPASSING STRUCTURE OR CONVEYANCE"
"6001","MARIJUANA-POSSESS WITH INTENT TO SELL"
"6002","MFG OR DELIVER SCHEDULE I"
"6003","RESIST OFFICER OBSTRUCT WO VIOLENCE"
"6004","INTIMIDATION THREAT W DEATH SERIOUS"
"6005","BODILY HARM LEO"
"6006","BATTERY ON OFFICER FIREFIGHTER EMT ETC"
"6007","AGGRAV STALKING FOLLOW HARASS"
"6008","CYBERSTALK CRED THREAT TO PERSON"
"6009","VOP/BATTERY"
"6010","POSSESS COUNTERFEITED DRIVERS LICENSE"
"6011","OR ID CARD"
"6012","AGGRAV BATTERY PERSON USES A DEADLY"
"6013","WEAPON"
"6014","RESIST OFFICER OBSTRUCT WO VIOLENCE"
"6015","CARRYING CONCEALED WEAPON"
"6016","UNLICENSED ELECTRIC WEAPON OR DEVICE"
"6017","COCAINE-POSSESS POSSESS COCAINE"
"6018","DRUGS-POSSESS CONTROLLED SUBSTANCE"
"6019","WITHOUT PRESCRIPTION"
"6020","NARCOTIC EQUIP-POSSESS AND OR USE"
"6021","DOMV/BATTERY TOUCH OR STRIKE"
"6022","USE/POSS ID OF ANOTHER PERSON WO"
"6023","CONSENT"
"6024","FRAUD-ILLEG USE CREDIT CARDS 2 FEWER"
"6025","TIMES 6 MOS OBT GOODS MONEY LESS $100"
"6026","FRAUD-SWINDLE OBTAIN PROPERTY UNDER"
"6027","20000 DOLLARS"
"6028","FRAUD-IMPERSON ATTEMPT TO USE ID OF"
"6029","ANOTHER PERSON WO CONSENT"
"6030","PETIT THEFT 1ST OFF"
"6031","NONMOVING TRAFFIC VIOL DRIVE WHILE LIC"
"6032","SUSP 3RD OR SUBSQ OFF"
"6033","DUI-UNLAW BLD ALCH DUI ALCOHOL OR"
"6034","DRUGS"
"6035","BATTERY ON PERSON 65 YEARS OF AGE OR"
"6036","OLDER"
"6037","BATTERY TOUCH OR STRIKE"
"6038","DAMAGE PROP-CRIM MISCH 200 DOLLARS"
"6039","AND UNDER"
"6040","DUI-UNLAW BLD ALCH DUI  DAMAGE TO"
"6041","PROPERTY OR PERSON OF ANOTHER"
"6042","DUI-UNLAW BLD ALCH DUI  DAMAGE TO"
"6043","PROPERTY OR PERSON OF ANOTHER"
"6044","DRUGS-POSSESS POSSESS"
"6045","METHAMPHETAMINE"
"6046","DRUGS-POSSESS CONTROLLED SUBSTANCE"
"6047","WITHOUT PRESCRIPTION"
"6048","NARCOTIC EQUIP-POSSESS AND OR USE"
"6049","FTA/POSSESSION OF CANNABIS"
"6050","PETIT THEFT 1ST OFF"
"6051","VOP/PUBLIC ASSISTANCE FRAUD"
"6052","FTA/PETIT THEFT 1ST OFF"
"6053","VOP/FELONY BATTERY"
"6054","VOP/RESISTING OFFICER WITHOUT"
"6055","VIOLENCE"
"6056","COCAINE-POSSESS POSSESS COCAINE"
"6057","EVIDENCE-DESTROYING TAMPER WITH OR"
"6058","FABRICATE PHYSICAL"
"6059","RESIST OFFICER OBSTRUCT WO VIOLENCE"
"6060","OUT-OF-COUNTY WARRANT/// MARION"
"6061","COUNTY SO/CASE#18MM003136AX/ FTA"
"6062","POSS.OF PARAPHERNALIA"
"6063","POSSESSION OF FIREARM BY CONVICTED"
"6064","FELON"
"6065","CARRYING A CONCEALED FIREARM"
"6066","POSSESSION OF CANNABIS"
"6067","POSSESSION OF PARAPHERNALIA"
"6068","AGGRAV ASSAULT  W DEADLY WEAPON"
"6069","WITHOUT INTENT TO KILL"
"6070","PETIT THEFT 1ST OFF"
"6071","DAMAGE PROP-CRIM MISCH OVER 200"
"6072","DOLLARS UNDER 1000 DOLLARS"
"6073","HOLD FOR DOC//HOLMES CI"
"6074","DAMAGE PROP-CRIM MISCH 200 DOLLARS"
"6075","AND UNDER"
"6076","SEX ASSAULT VICT OVR 12 YOA PHYSICAL"
"6077","FORCE NO DMG"
"6078","PETIT THEFT 1ST OFF"
"6079","BATTERY TOUCH OR STRIKE"
"6080","DAMAGE PROP-CRIM MISCH $1000 OR MORE"
"6081","FELONY BATTERY"
"6082","FTA/POSSESSION OF CONTROLLED"
"6083","SUBSTANCE WITH INTENT TO SELL OR"
"6084","DELIVER"
"6085","FTA/POSSESSION OF CONTROLLED"
"6086","SUBSTANCE"
"6087","VOP/FTA/POSSESSION OF CANNABIS"
"6088","VOP/FTA/POSSESSION OF PARPAHERNALIA"
"6089","VOP/FTA/POSSESSION OF PARAPHERNALIA"
"6090","HOLD FOR DOC/OKALOOSA SI"
"6091","PUBLIC ASSISTANCE FRAUD"
"6092","PETIT THEFT THIRD OR SUBSQ OFF"
"6093","VOP/DEALING IN STOLEN PROPERTY"
"6094","VOP/GRAND THEFT"
"6095","PETIT THEFT 1ST OFF"
"6096","RESIST OFFICER OBSTRUCT WO VIOLENCE"
"6097","FRAUD-IMPERSON FALSE ID GIVEN TO LEO"
"6098","MOVING TRAFFIC VIOL OPERATE MOTOR"
"6099","VEHICLE WO VALID LICENSE"
"6100","MARIJUANA-POSSESS POSSESS MARIJUANA"
"6101","OVER 20 GRAMS"
"6102","BATTERY TOUCH OR STRIKE"
"6103","CRUELTY TOWARD  CHILD ABUSE CHILD"
"6104","WITHOUT GREAT BODILY HARM"
"6105","GRAND THEFT IS $300 OR MORE BUT LESS"
"6106","THAN $5000"
"6107","HOLD FOR DOC/ACI EAST"
"6108","FTA/DRIVING UNDER THE INFLUENCE"
"6109","SUBSEQUENT CONVICTIONS"
"6110","DOMESTIC BATTERY"
"6111","VOP/DEALING IN STOLEN PROPERTY"
"6112","VOP/DEFRAUDING A PAWNBROKER"
"6113","GRAND THEFT OF  MOTOR VEHICLE"
"6114","VOP/BAY COUNTY SO/CASE# 1803150/POSS-"
"6115","METHAMPHETAMINE"
"6116","AMPHETAMINE-TRAFFIC OR"
"6117","METHAMPHETAMINE 14 GRAMS OR OVER"
"6118","NARCOTIC EQUIP-POSSESS AND OR USE"
"6119","RESIST OFFICER OBSTRUCT WO VIOLENCE"
"6120","MOVING TRAFFIC VIOL KNOWINGLY DRIVE"
"6121","WHILE LICE SUSPENDED REVOKED"
"6122","DRUGS-POSSESS POSSESS"
"6123","METHAMPHETAMINE"
"6124","DRUGS-SELL SELL METHAMPHETAMINE"
"6125","DRUGS-POSSESS CONTROLLED SUBSTANCE"
"6126","WITHOUT PRESCRIPTION"
"6127","NARCOTIC EQUIP-POSSESS AND OR USE"
"6128","DRUGS-POSSESS POSSESS"
"6129","METHAMPHETAMINE"
"6130","NARCOTIC EQUIP-POSSESS AND OR USE"
"6131","VOP/ARMED CARJACKING"
"6132","HOLD FOR DOC/NWFRC MAIN UNIT"
"6133","VOP/ARMED CARJACKING"
"6134","HOLD FOR DOC/NWFRC MAIN UNIT"
"6135","NARCOTIC EQUIP-POSSESS AND OR USE"
"6136","DRUGS-POSSESS CONTROLLED SUBSTANCE"
"6137","WITHOUT PRESCRIPTION"
"6138","COCAINE-POSSESS POSSESS COCAINE"
"6139","HOLD FOR DOC/WALTON C.I"
"6140","OUT-OF-COUNTY WARRANT///MARTIN"
"6141","COUNTY SO//CASE#FTA USE OF DRUG"
"6142","PARAPHERNALIA"
"6143","NARCOTIC EQUIP-POSSESS AND OR USE"
"6144","MARIJUANA-POSSESS POSSESS MARIJUANA"
"6145","OVER 20 GRAMS"
"6146","NARCOTIC EQUIP-POSSESS AND OR USE"
"6147","RESIST OFFICER OBSTRUCT WO VIOLENCE"
"6148","HOLD FOR DOC/FRANKLIN C.I"
"6149","VOP/FTA/GRAND THEFT OF MOTOR VEHICLE"
"6150","VOP/ARMED ROBBERY W/FIREARM//SENT."
"6151","DOC"
"6152","VOP/BURGLARY OF DWELLING WHILE"
"6153","ARMED//SENT. DOC"
"6154","VOP/POSSESSION OF MORE THAN 20 GRAMS"
"6155","CANNABIS"
"6156","COCAINE-POSSESS POSSESS COCAINE"
"6157","DRUGS-POSSESS CONTROLLED SUBSTANCE"
"6158","WITHOUT PRESCRIPTION"
"6159","FRAUD-IMPERSON FALSE ID GIVEN TO LEO"
"6160","HOLD FOR DOC/NWFRC MAIN UNIT/"
"6161","PINELLAS COUNTY"
"6162","FAVOR HOLD(PINELLAS COUNTY)ORDER TO"
"6163","TRANSPORT CASE #1813350CFD"
"6164","TRESPASSING OCCUPIED STRUCTURE OR"
"6165","CONVEYANCE"
"6166","COCAINE-POSSESS WITH INTENT TO SELL"
"6167","MFG DELIV ETC SCHEDULE II"
"6168","NARCOTIC EQUIP-POSSESS AND OR USE"
"6169","MOVING TRAFFIC VIOL OPERATE MOTOR"
"6170","VEHICLE WO VALID LICENSE"
"6171","HOLD FOR DOC/ GRACEVILLE CF"
"6172","HOLD FOR US MARSHALS"
"6173","OFFICE/REF#25057017"
"6174","NONMOVING TRAFFIC VIOL DRIVE WHILE LIC"
"6175","SUSP 3RD OR SUBSQ OFF"
"6176","WRIT-WHS $750 OR 90 DAYS LCJ"
"6177","LAGER/MARSH"
"6178","WRIT/WHS $700 OR 30 DAYS LCJ"
"6179","DOR/RUCC/CALOCA-JOHNSON"
"6180","MOVING TRAFFIC VIOL KNOWINGLY DRIVE"
"6181","WHILE LICE SUSPENDED REVOKED"
"6182","COCAINE-POSSESS POSSESS COCAINE"
"6183","FAVOR HOLD(LEE COUNTY CASE#17DR1224)"
"6184","HOLD FOR DOC (NWFRC MAIN UNIT)"
"6185","VOP/ATTEMPTED CRIMINAL USE OF"
"6186","PERSONAL ID INFORMATION"
"6187","BATTERY CAUSE BODILY HARM"
"6188","CHILD ABUSE"
"6189","AGGRAV ASSAULT  W DEADLY WEAPON"
"6190","WITHOUT INTENT TO KILL"
"6191","BURGL DWELLING STRUCTURE OR"
"6192","CONVEYANCE ARMED"
"6193","DRUGS-POSSESS CONTROLLED SUBSTANCE"
"6194","WITHOUT PRESCRIPTION"
"6195","CONTEMPT/ TAKEN INTO CUSTODY $1000 OR"
"6196","20 DAYS"
"6197","AMPHETAMINE-TRAFFIC OR"
"6198","METHAMPHETAMINE 14 GRAMS OR OVER"
"6199","NONMOVING TRAFFIC VIOL DRIVE WHILE LIC"
"6200","SUSP 3RD OR SUBSQ OFF"
"6201","PETIT THEFT"
"6202","RESISTING OFFICER WITHOUT VIOLENCE"
"6203","BATTERY"
"6204","NONMOVING TRAFFIC VIOL DRIVE WHILE LIC"
"6205","SUSP 2ND OFF"
"6206","POSSESSION OF WEAPON OR AMMO BY"
"6207","CONVICTED FLORIDA FELON"
"6208","POSSESS OF WEAPON SHORT BARRELED GUN"
"6209","RIFLE OR MACHINE GUN"
"6210","VOP/DRIVING UNDER THE INFLUENCE"
"6211","FTA/TREPASS ON PROPERTY AFTER"
"6212","WARNING"
"6213","OVERNIGH HOLD/ BROWARD COUNTY SO"
"6214","SEXUAL BATTERY"
"6215","HOLD FOR DOC / SOUTH BAY C.F. /"
"6216","DC#N19840"
"6217","SEXUAL BATTERY"
"6218","HOLD FOR DOC / SOUTH BAY C.F. /"
"6219","DC#N19840"
"6220","MOVING TRAFFIC VIOL DRIVE WITH"
"6221","SUSPENDED REVOKED LICENSE SUBSQ OFF"
"6222","BURGL OF DWELLING UNARMED NO ASSAULT"
"6223","OR BATT"
"6224","AGGRAVATED ASSAULT WITH DEADLY"
"6225","WEAPON"
"6226","USE ID OF ANOTHER WO CONSENT 5K DOLS"
"6227","MORE"
"6228","FRAUD-SWINDLE OBTAIN PROPERTY $20,000"
"6229","LESS THAN $50,000"
"6230","GRAND THEFT $20,000 LESS THAN $100,000
FRAUD-ILLEG USE CREDIT CARDS USE MORE
2 TIMES 6 MOS OBT GDS MONEY $100 MORE
PETIT THEFT 1ST DEGREE PROPERTY 100 TO
UND 300 DOLS
CONTRACTING WITHOUT BEING
RESGISTERED OR CERTIFIED
UNREGISTERED ELECTRICAL CONTRACTING
PETIT THEFT
RESISTING A MERCHANT
VOP/FTA/MOVING TRAFFIC VIOL DRIVE WITH
SUSPENDED REVOKED LICENSE
PETIT THEFT
RESISTING A MERCHANT
VOP/FTA/MOVING TRAFFIC VIOL DRIVE WITH
SUSPENDED REVOKED LICENSE
FRAUD-SWINDLE OBTAIN PROPERTY UNDER
20000 DOLLARS
FRAUD-ILLEG USE CREDIT CARDS USE MORE
2 TIMES 6 MOS OBT GDS MONEY $100 MORE
GRAND THEFT IS $300 OR MORE BUT LESS
THAN $5000
WRIT-WHS $11849.40 OR 60 DAYS LCJ
DOR/RUFF/MARSH
NONMOVING TRAFFIC VIOL DRIVE WHILE LIC
SUSP 3RD OR SUBSQ OFF
OUT-OF-COUNTY WARRANT// PINELLAS
COUNTY SO/ FTA/VOP/DUI/CASE#8692XEZ
"
"6231","BURGL WITH ASSAULT OR BATTERY"
"6232","POSSESSION OF WEAPON OR AMMO BY"
"6233","CONVICTED FLORIDA FELON"
"6234","FIRE WEAPON MISSILE INTO DWELLING VEH"
"6235","BUILDING OR AIRCRAFT"
"6236","PUBLIC ORDER CRIMES CRIMINAL ATTEMPT"
"6237","SOLICIT CONSPIRE 1ST DEG FEL"
"6238","AGGRAV ASSAULT  W DEADLY WEAPON"
"6239","WITHOUT INTENT TO KILL"
"6240","DAMAGE PROP-CRIM MISCH 200 DOLLARS"
"6241","AND UNDER"
"6242","BURGLARY OF CONVEYANCE"
"6243","OUT-OF-STATE- WARRANT/ VOP/ SHERIFFS"
"6244","OFFICE CAIRO GA/ CASE#11R018"
"6245","AGGRAV BATTERY ON OFFICER FIREFIGHTER"
"6246","EMT ETC"
"6247","COCAINE-POSSESS WITH INTENT TO SELL"
"6248","MFG DELIV ETC SCHEDULE II"
"6249","DRUGS-POSSESS POSSESS"
"6250","METHAMPHETAMINE"
"6251","HOLD FOR PINELLAS COUNTY"
"6252","FAVOR TRANSPORT/ REF CASE"
"6253","#522014MO005414"
"6254","WRIT-WHS $600 OR 30 DAYS LCJ"
"6255","DOR/RUFF/FRANCIS"
"6256","WRIT/ WHS $1500 OR 90 DAYS LCJ"
"6257","DOR/RUFF/CARROLL"
"6258","MARIJUANA-POSSESS WITH INTENT TO SELL"
"6259","MFG OR DELIVER SCHEDULE I"
"6260","NARCOTIC EQUIP-POSSESS AND OR USE"
"6261","MOVING TRAFFIC VIOL DRIVE WITH"
"6262","SUSPENDED REVOKED LICENSE"
"6263","DOMV//BATTERY COMMIT DOMESTIC"
"6264","BATTERY BY STRANGULATION"
"6265","DOMV//KIDNAP-FALSE IMPRISONMENT"
"6266","ADULT"
"6267","VOP/FELONY BATTERY"
"6268","VOP/FEONLY BATTERY"
"6269","FTA/TRESPASSING FAIL TO LEAVE PROPERTY"
"6270","UPON ORDER BY OWNER"
"6271","VOP/MOVING TRAFFIC VIOL OPERATE"
"6272","MOTOR VEHICLE WO VALID LICENSE"
"6273","GRAND THEFT IS $300 OR MORE BUT LESS"
"6274","THAN $5000"
"6275","BURGL OF DWELLING UNARMED NO ASSAULT"
"6276","OR BATT"
"6277","BURGL DWELLING STRUCTURE OR"
"6278","CONVEYANCE ARMED"
"6279","DAMAGE PROP-CRIM MISCH $1000 OR MORE"
"6280","GRAND THEFT OF FIREARM"
"6281","ROBBERY WITH FIREARM"
"6282","VOP/FTA/PETIT THEFT (VALUE GREATER"
"6283","THAN $100)"
"6284","VOP/FTA/PETIT THEFT"
"6285","WRIT-WHS $600 OR 60 DAYS LCJ"
"6286","DOR/RUFF/MARSH"
"6287","NONMOVING TRAFFIC VIOL DRIVE WHILE LIC"
"6288","SUSP 3RD OR SUBSQ OFF"
"6289","DRUGS-POSSESS CONTROLLED SUBSTANCE"
"6290","WITHOUT PRESCRIPTION"
"6291","NARCOTIC EQUIP-POSSESS AND OR USE"
"6292","NONMOVING TRAFFIC VIOL DRIVE WHILE LIC"
"6293","SUSP 2ND OFF"
"6294","DRIVING WHILE LICENSE SUSPENDED OR"
"6295","REVOKED"
"6296","VOP/FTA/PUBLIC ASSISTANCE FRAUD"
"6297","VOP/FAILURE TO REDELIVER LEASED"
"6298","PROPERTY"
"6299","VOP/PETIT THEFT"
"6300","VOP/BURGLARY OF OCCUPIED DWELLING"
"6301","VOP/BURGLARY OF CONVEYANCE"
"6302","VOP/POSSESSION OF COCAINE"
"6303","VOP/TAMPERING WITH PHYSICAL EVIDENCE"
"6304","VOP/ROBBERY WITH NONDEADLY WEAPON"
"6305","MARIJUANA-POSSESS NOT MORE THAN 20"
"6306","GRAMS"
